python,java,dart,c,javascript,html,css,php,django,flask,spring,react,angular,nodejs,flutter,laravel,experience_level,job_role
1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,2,2
1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,5
1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,4
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,2,4
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,2
1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,5
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,3,4
0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,2
1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,2,5
0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1
1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,5
1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,3,5
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,2,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0
1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0
1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,4
1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0
1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,3,5
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,4
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,2,4
1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,5
1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,5
1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,2
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,5
0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,2,4
1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,2,2
1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,3,2
1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,2
1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,2,0
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3
0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3
1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,2,5
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,5
1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,3,2
1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,3,0
1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,2,2
1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,2,2
1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0
1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,4
0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,5
1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4
1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,2,2
1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,5
1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,4
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0
1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,2,2
1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,2
0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,3,5
0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1
0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,3,5
1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,2,0
0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
